feature,importance
bright_fraction,0.16416283
aspect_ratio,0.12218076
entropy_norm,0.08493128
mean_intensity,0.08418934
pixel_0252,0.03463078
pixel_0003,0.02706552
variance_norm,0.02571233
pixel_0153,0.02280607
std_intensity,0.02075838
pixel_0150,0.01823353
pixel_0001,0.01761157
pixel_0224,0.01744415
pixel_0000,0.01738833
pixel_0017,0.01734381
pixel_0225,0.01729386
pixel_0130,0.01646521
pixel_0253,0.01499215
pixel_0241,0.01475693
pixel_0245,0.01293916
pixel_0192,0.01267974
pixel_0208,0.01026169
pixel_0002,0.00998728
pixel_0139,0.00988818
pixel_0238,0.00986989
pixel_0151,0.00782316
pixel_0207,0.00755765
pixel_0223,0.00753169
pixel_0140,0.00666717
pixel_0134,0.00581130
pixel_0137,0.00579296
pixel_0056,0.00568196
pixel_0240,0.00543713
pixel_0243,0.00532881
pixel_0218,0.00517800
pixel_0138,0.00507517
pixel_0206,0.00502602
edge_density,0.00499446
pixel_0169,0.00466325
pixel_0157,0.00464870
pixel_0213,0.00439210
